splitter build_time_s fun_i tolerance node_count balance.first balance.second error.first error.second
half 0.000100 3 1.000000 1 0.000000 0.000000 0.837729 0.179095
grad 0.000099 3 1.000000 1 0.000000 0.000000 0.837729 0.179095
half 0.000062 3 0.900000 1 0.000000 0.000000 0.837729 0.179095
grad 0.000098 3 0.900000 1 0.000000 0.000000 0.837729 0.179095
half 0.000101 3 0.800000 1 0.000000 0.000000 0.837729 0.179095
grad 0.000089 3 0.800000 1 0.000000 0.000000 0.837729 0.179095
half 0.011159 3 0.700000 115 9.137931 2.921078 0.758312 0.184540
grad 0.053363 3 0.700000 361 9.005525 1.585491 0.743102 0.159184
half 1.014891 3 0.600000 1219 10.927869 1.706701 0.617505 0.157848
grad 1.976727 3 0.600000 997 9.681363 1.203149 0.631703 0.138096
half 4.030950 3 0.500000 3719 11.861290 1.308823 0.509714 0.124005
grad 4.990653 3 0.500000 2719 10.812500 0.945262 0.496447 0.117201
half 10.964366 3 0.400000 9427 12.933390 1.238702 0.396405 0.098932
grad 10.062539 3 0.400000 6631 11.848311 0.634907 0.398056 0.094607
half 31.016147 3 0.300000 25943 14.176688 1.047700 0.297470 0.074168
grad 28.055927 3 0.300000 15721 13.135733 0.752401 0.305216 0.072103
half 98.010331 3 0.200000 83751 15.836708 1.126295 0.199812 0.051273
grad 162.016698 3 0.200000 58417 14.952754 0.577720 0.200866 0.045399
