splitter build_time_s fun_i tolerance node_count balance.first balance.second error.first error.second
half 0.000060 0 1.000000 1 0.000000 0.000000 1.000000 0.939829
grad 0.000043 0 1.000000 1 0.000000 0.000000 1.000000 0.939829
half 0.000118 0 0.900000 3 1.000000 0.000000 0.713495 0.253344
grad 0.000176 0 0.900000 3 1.000000 0.000000 0.619757 0.295896
half 0.000183 0 0.800000 3 1.000000 0.000000 0.713495 0.253344
grad 0.000172 0 0.800000 3 1.000000 0.000000 0.619757 0.295896
half 0.002873 0 0.700000 63 5.250000 0.829156 0.608394 0.038147
grad 0.000172 0 0.700000 3 1.000000 0.000000 0.619757 0.295896
half 0.003190 0 0.600000 79 5.800000 1.166190 0.504964 0.035016
grad 0.001375 0 0.600000 21 4.181818 1.192262 0.550671 0.250720
half 0.904580 0 0.500000 95 6.333333 1.490712 0.464728 0.032358
grad 0.004734 0 0.500000 69 5.685714 1.544972 0.459355 0.036978
half 0.005304 0 0.400000 127 7.125000 1.763342 0.378237 0.028942
grad 0.006625 0 0.400000 99 6.720000 2.163701 0.372331 0.033149
half 0.915324 0 0.300000 319 9.400000 1.933908 0.281575 0.025012
grad 0.014555 0 0.300000 215 8.518519 2.875444 0.281209 0.026115
half 0.041219 0 0.200000 943 10.762712 1.968730 0.190538 0.016480
grad 0.044085 0 0.200000 631 10.920886 3.002648 0.199102 0.019915
