splitter build_time_s fun_i tolerance node_count balance.first balance.second error.first error.second
half 0.020344 2 1.000000 15 3.000000 0.000000 0.832429 0.227162
grad 0.021430 2 1.000000 7 2.000000 0.000000 0.950774 0.298887
half 0.025481 2 0.900000 15 3.000000 0.000000 0.832429 0.227162
grad 0.027075 2 0.900000 9 2.400000 0.489898 0.866335 0.241072
half 0.044514 2 0.800000 19 3.400000 0.489898 0.796788 0.223159
grad 0.035949 2 0.800000 13 3.285714 1.277753 0.761910 0.215216
half 0.988515 2 0.700000 39 4.400000 0.489898 0.640397 0.179453
grad 0.955287 2 0.700000 25 4.230769 1.249852 0.661107 0.165696
half 1.010578 2 0.600000 55 4.857143 0.349927 0.581403 0.159004
grad 1.022980 2 0.600000 39 4.700000 1.053565 0.582341 0.143575
half 2.015709 2 0.500000 95 5.666667 0.471405 0.485159 0.115975
grad 2.930405 2 0.500000 75 5.526316 0.938556 0.477437 0.112742
half 2.943916 2 0.400000 147 6.270270 0.444099 0.399224 0.105007
grad 4.057982 2 0.400000 157 6.734177 1.133035 0.397140 0.087205
half 6.905352 2 0.300000 395 7.717172 0.472269 0.293559 0.083923
grad 7.969941 2 0.300000 361 7.828729 0.956775 0.292150 0.064444
half 39.974492 2 0.200000 1035 9.138996 0.579562 0.199245 0.053571
grad 55.990239 2 0.200000 1047 9.236641 0.811013 0.195223 0.043217
