half 0 1.000000 0.000144 0.005930 1 0.000000 0.000000 1.000000 0.939829
grad 0 1.000000 0.000056 0.005702 1 0.000000 0.000000 1.000000 0.939829
half 0 0.900000 0.000174 0.006517 3 1.000000 0.000000 0.713495 0.253344
grad 0 0.900000 0.000230 0.006280 3 1.000000 0.000000 0.619757 0.295896
half 0 0.800000 0.000176 0.006495 3 1.000000 0.000000 0.713495 0.253344
grad 0 0.800000 0.000216 0.006300 3 1.000000 0.000000 0.619757 0.295896
half 0 0.700000 0.003417 0.013702 63 5.250000 0.829156 0.608394 0.038147
grad 0 0.700000 0.000217 0.006278 3 1.000000 0.000000 0.619757 0.295896
half 0 0.600000 0.004167 0.013977 79 5.800000 1.166190 0.504964 0.035016
grad 0 0.600000 0.001555 0.008251 21 4.181818 1.192262 0.550671 0.250720
half 0 0.500000 0.005281 0.014192 95 6.333333 1.490712 0.464728 0.032358
grad 0 0.500000 0.005210 0.013217 69 5.685714 1.544972 0.459355 0.036978
half 0 0.400000 0.006908 0.014727 127 7.125000 1.763342 0.378237 0.028942
grad 0 0.400000 0.007752 0.013803 99 6.720000 2.163701 0.372331 0.033149
half 0 0.300000 0.017026 0.015315 319 9.400000 1.933908 0.281575 0.025012
grad 0 0.300000 0.016857 0.016631 215 8.518519 2.875444 0.281209 0.026115
half 0 0.200000 0.054767 0.019980 943 10.762712 1.968730 0.190538 0.016480
grad 0 0.200000 0.049290 0.017341 631 10.920886 3.002648 0.199102 0.019915
half 0 0.100000 0.350673 0.026021 6479 14.012346 1.685771 0.092316 0.009511
grad 0 0.100000 0.345712 0.023392 4421 13.958842 2.578769 0.099051 0.011534
half 1 1.000000 0.094766 0.016017 149 6.773333 1.206354 0.978966 0.194437
grad 1 1.000000 0.104752 0.015916 121 6.049180 0.584674 0.997000 0.176528
half 1 0.900000 0.125567 0.017022 197 7.212121 1.281356 0.899038 0.178520
grad 1 0.900000 0.126699 0.016860 147 6.310811 0.543405 0.895850 0.163755
half 1 0.800000 0.177636 0.018473 281 7.687943 1.197721 0.791707 0.155891
grad 1 0.800000 0.196210 0.017805 223 6.955357 0.646258 0.794262 0.146056
half 1 0.700000 0.255678 0.020032 377 8.158730 1.237077 0.690505 0.142293
grad 1 0.700000 0.260626 0.019573 301 7.403974 0.692235 0.698272 0.131808
half 1 0.600000 0.340852 0.023541 543 8.735294 1.287584 0.599760 0.125198
grad 1 0.600000 0.416661 0.021559 473 8.050633 0.673151 0.599769 0.111968
half 1 0.500000 0.622418 0.024462 927 9.560345 1.347340 0.493990 0.106988
grad 1 0.500000 0.638697 0.023138 733 8.694823 0.707723 0.497492 0.095866
half 1 0.400000 1.079616 0.027338 1703 10.539906 1.379615 0.398588 0.089888
grad 1 0.400000 1.236103 0.026037 1365 9.619327 0.760505 0.399846 0.078194
half 1 0.300000 2.390555 0.033258 3767 11.659236 1.360504 0.296575 0.067554
grad 1 0.300000 2.685797 0.031397 3071 10.819010 0.805129 0.299992 0.060310
half 1 0.200000 7.786183 0.043224 12229 13.465904 1.425824 0.197136 0.047372
grad 1 0.200000 8.472999 0.039433 9221 12.448493 0.866309 0.199611 0.042276
half 1 0.100000 59.170048 0.069077 89859 16.438104 1.445658 0.099384 0.025225
grad 1 0.100000 58.984133 0.063007 66799 15.352844 0.926178 0.099965 0.022709
half 2 1.000000 0.007039 0.010584 15 3.000000 0.000000 0.832429 0.227162
grad 2 1.000000 0.003463 0.008177 7 2.000000 0.000000 0.950774 0.298887
half 2 0.900000 0.006178 0.009971 15 3.000000 0.000000 0.832429 0.227162
grad 2 0.900000 0.004431 0.008989 9 2.400000 0.489898 0.866335 0.241072
half 2 0.800000 0.007381 0.010562 19 3.400000 0.489898 0.796788 0.223159
grad 2 0.800000 0.006885 0.009754 13 3.285714 1.277753 0.761910 0.215216
half 2 0.700000 0.015184 0.012873 39 4.400000 0.489898 0.640397 0.179453
grad 2 0.700000 0.013376 0.011728 25 4.230769 1.249852 0.661107 0.165696
half 2 0.600000 0.020947 0.013988 55 4.857143 0.349927 0.581403 0.159004
grad 2 0.600000 0.020849 0.013798 39 4.700000 1.053565 0.582341 0.143575
half 2 0.500000 0.039600 0.016282 95 5.666667 0.471405 0.485159 0.115975
grad 2 0.500000 0.041847 0.016387 75 5.526316 0.938556 0.477437 0.112742
half 2 0.400000 0.060831 0.017850 147 6.270270 0.444099 0.399224 0.105007
grad 2 0.400000 0.082754 0.018152 157 6.734177 1.133035 0.397140 0.087205
